age,d18O,Ca2
12940,-38.26,42.48
12960,-38.26,42.48
12960,-39.12,36.91
12980,-39.12,36.91
12980,-38.96,30.92
13000,-38.96,30.92
13000,-39.87,34.7
13020,-39.87,34.7
13020,-39.56,54.01
13040,-39.56,54.01
13040,-39.49,50
13060,-39.49,50
13060,-40.52,41.05
13080,-40.52,41.05
13080,-39.77,45.96
13100,-39.77,45.96
13100,-40.58,61.86
13120,-40.58,61.86
13120,-40.15,47.67
13140,-40.15,47.67
13140,-41.52,63.96
13160,-41.52,63.96
13160,-40.08,53.92
13180,-40.08,53.92
13180,-40.53,55.63
13200,-40.53,55.63
13200,-40.1,68.9
13220,-40.1,68.9
13220,-40.58,61.7
13240,-40.58,61.7
13240,-39.46,42.84
13260,-39.46,42.84
13260,-39.3,38.58
13280,-39.3,38.58
13280,-38.97,33.55
13300,-38.97,33.55
13300,-39.02,38.98
13320,-39.02,38.98
13320,-39.34,36.65
13340,-39.34,36.65
13340,-39.08,39.39
13360,-39.08,39.39
13360,-38.55,29.65
13380,-38.55,29.65
13380,-38.36,34.7
13400,-38.36,34.7
13400,-38.75,38.84
13420,-38.75,38.84
13420,-38.14,29.89
13440,-38.14,29.89
13440,-38.57,34.39
13460,-38.57,34.39
13460,-38.8,32.33
13480,-38.8,32.33
13480,-38.33,41.71
13500,-38.33,41.71
13500,-37.74,30.53
13520,-37.74,30.53
13520,-38.08,33.25
13540,-38.08,33.25
13540,-38.29,30.83
13560,-38.29,30.83
13560,-38.99,41.69
13580,-38.99,41.69
13580,-39.36,38.41
13600,-39.36,38.41
13600,-39.63,71.63
13620,-39.63,71.63
13620,-40.04,63.45
13640,-40.04,63.45
13640,-39.2,48.27
13660,-39.2,48.27
13660,-39.09,45.56
13680,-39.09,45.56
13680,-38.67,35.52
13700,-38.67,35.52
13700,-38.93,31.76
13720,-38.93,31.76
13720,-37.66,32.63
13740,-37.66,32.63
13740,-38.45,28.91
13760,-38.45,28.91
13760,-39.41,30.51
13780,-39.41,30.51
13780,-38.81,33.88
13800,-38.81,33.88
13800,-37.85,34.63
13820,-37.85,34.63
13820,-39.07,37.79
13840,-39.07,37.79
13840,-37.96,32.45
13860,-37.96,32.45
13860,-38,31.98
13880,-38,31.98
13880,-38.44,33.31
13900,-38.44,33.31
13900,-38.22,32.59
13920,-38.22,32.59
13920,-38.61,27.67
13940,-38.61,27.67
13940,-38.01,36.67
13960,-38.01,36.67
13960,-39.98,51.79
13980,-39.98,51.79
13980,-39.04,57.8
14000,-39.04,57.8
14000,-39.73,77.76
14020,-39.73,77.76
14020,-40.21,99.76
14040,-40.21,99.76
14040,-39.9,87.27
14060,-39.9,87.27
14060,-40.95,41.82
14080,-40.95,41.82
14080,-38.05,34.77
14100,-38.05,34.77
14100,-38.34,32.39
14120,-38.34,32.39
14120,-38.01,29.03
14140,-38.01,29.03
14140,-38.68,27.55
14160,-38.68,27.55
14160,-38.03,36.33
14180,-38.03,36.33
14180,-37.59,30.27
14200,-37.59,30.27
14200,-37.46,31.09
14220,-37.46,31.09
14220,-38.43,26.4
14240,-38.43,26.4
14240,-37.76,27.24
14260,-37.76,27.24
14260,-37.19,38.5
14280,-37.19,38.5
14280,-37.14,28.13
14300,-37.14,28.13
14300,-37.05,23.9
14320,-37.05,23.9
14320,-37.54,30.86
14340,-37.54,30.86
14340,-36.81,25.68
14360,-36.81,25.68
14360,-37.5,30.57
14380,-37.5,30.57
14380,-36.07,29.93
14400,-36.07,29.93
14400,-37.17,31.96
14420,-37.17,31.96
14420,-37.29,30.84
14440,-37.29,30.84
14440,-37.04,30.47
14460,-37.04,30.47
14460,-36.86,29.19
14480,-36.86,29.19
14480,-36.27,31.25
14500,-36.27,31.25
14500,-36.11,34.77
14520,-36.11,34.77
14520,-36.13,26.79
14540,-36.13,26.79
14540,-36.14,27.47
14560,-36.14,27.47
14560,-36.97,26.89
14580,-36.97,26.89
14580,-35.82,25.84
14600,-35.82,25.84
14600,-36.74,33.47
14620,-36.74,33.47
14620,-37.48,37.09
14640,-37.48,37.09
14640,-37.52,33.51
14660,-37.52,33.51
14660,-37.97,48.79
14680,-37.97,48.79
14680,-40.65,94.82
14700,-40.65,94.82
14700,-41.97,124.56
14720,-41.97,124.56
14720,-42.48,152.42
14740,-42.48,152.42
14740,-40.82,141.45
14760,-40.82,141.45
14760,-41.04,176.65
14780,-41.04,176.65
14780,-39.91,141.54
14800,-39.91,141.54
14800,-40.69,146.69
14820,-40.69,146.69
14820,-42.43,159.6
14840,-42.43,159.6
14840,-40.79,168.63
14860,-40.79,168.63
14860,-41.16,180.02
14880,-41.16,180.02
14880,-40.15,185.74
14900,-40.15,185.74
14900,-41.46,165.14
14920,-41.46,165.14
14920,-41.77,185.61
14940,-41.77,185.61
14940,-41.67,170.85
14960,-41.67,170.85
14960,-40.88,173.98
14980,-40.88,173.98
14980,-42.62,223.89
15000,-42.62,223.89
15000,-42.38,257.73
15020,-42.38,257.73
15020,-41.51,187.47
15040,-41.51,187.47
15040,-43.17,181.69
15060,-43.17,181.69
15060,-39.96,191.89
15080,-39.96,191.89
15080,-43.51,221.98
15100,-43.51,221.98
15100,-42.74,244.55
15120,-42.74,244.55
15120,-40.05,173.01
15140,-40.05,173.01
15140,-42.33,198.29
15160,-42.33,198.29
15160,-42.99,189.03
15180,-42.99,189.03
15180,-42.07,236.16
15200,-42.07,236.16
15200,-40.56,222.86
15220,-40.56,222.86
15220,-43.55,247.61
15240,-43.55,247.61
15240,-40.62,216.08
15260,-40.62,216.08
15260,-44.9,219.87
15280,-44.9,219.87
15280,-41.98,262.61
15300,-41.98,262.61
15300,-41.3,183.24
15320,-41.3,183.24
15320,-42.09,154.68
15340,-42.09,154.68
15340,-40.76,152.36
15360,-40.76,152.36
15360,-40.69,178.17
15380,-40.69,178.17
15380,-39.95,182.56
15400,-39.95,182.56
15400,-43.31,199.25
15420,-43.31,199.25
15420,-42.4,207.15
15440,-42.4,207.15
15460,-41.6,181.36
15480,-41.6,181.36
15480,-41.97,205.61
15500,-41.97,205.61
15500,-43.56,190.2
15520,-43.56,190.2
15520,-41.86,154.84
15540,-41.86,154.84
15540,-43.24,172.22
15560,-43.24,172.22
15560,-44.54,218.98
15580,-44.54,218.98
15580,-42.33,191.43
15600,-42.33,191.43
15600,-42.18,176.63
15620,-42.18,176.63
15620,-42.11,165.31
15640,-42.11,165.31
15640,-42.2,214.37
15660,-42.2,214.37
15660,-40.41,245.02
15680,-40.41,245.02
15680,-43.53,219.56
15700,-43.53,219.56
15700,-43.05,175.1
15720,-43.05,175.1
15720,-44.62,178.75
15740,-44.62,178.75
15740,-42.8,197.98
15760,-42.8,197.98
15760,-43.97,272.25
15780,-43.97,272.25
15780,-43.88,190.19
15800,-43.88,190.19
15800,-40.19,195.88
15820,-40.19,195.88
15820,-41.7,188.4
15840,-41.7,188.4
15840,-41.16,223.89
15860,-41.16,223.89
15860,-40.81,158.99
15880,-40.81,158.99
15880,-43.18,243.15
15900,-43.18,243.15
15900,-42.95,245.44
15920,-42.95,245.44
15920,-41.55,188.09
15940,-41.55,188.09
15940,-40.54,195.83
15960,-40.54,195.83
15960,-41.6,272.34
15980,-41.6,272.34
15980,-41.97,286.47
16000,-41.97,286.47
16000,-42.27,245.69
16020,-42.27,245.69
16020,-41.41,212.48
16040,-41.41,212.48
16040,-41.3,267.42
16060,-41.3,267.42
16060,-42.99,263.88
16080,-42.99,263.88
16080,-44.96,315.96
16100,-44.96,315.96
16100,-43.25,261.88
16120,-43.25,261.88
16120,-40.32,268.75
16140,-40.32,268.75
16140,-43.59,293.41
16160,-43.59,293.41
16160,-41.85,313.76
16180,-41.85,313.76
16180,-41.71,295.27
16200,-41.71,295.27
16220,-39.89,238.11
16240,-39.89,238.11
16240,-42.39,218.5
16260,-42.39,218.5
16260,-41.99,297.26
16280,-41.99,297.26
16280,-40.77,218.7
16300,-40.77,218.7
16300,-42.07,209.83
16320,-42.07,209.83
16320,-42.3,254.95
16340,-42.3,254.95
16340,-42.52,221.06
16360,-42.52,221.06
16360,-39.76,245.16
16380,-39.76,245.16
16380,-42.77,304.35
16400,-42.77,304.35
16400,-41.65,231.3
16420,-41.65,231.3
16420,-40.73,268.94
16440,-40.73,268.94
16440,-42.6,300.83
16460,-42.6,300.83
16460,-41.23,275.77
16480,-41.23,275.77
16480,-41.19,308.02
16500,-41.19,308.02
16500,-38.3,203.27
16520,-38.3,203.27
